Row Labels,Sum of Sales In thousands,Sum of Year Resale Value,,,,,,,,,,,,,,,
4Runner,68.41,19.425,,,,,,,,,,,,,,,
Avalon,63.85,18.14,,,,,,,,,,,,,,,
Camry,247.99,13.245,,,,,,,,,,,,,,,
Celica,33.27,15.445,,,,,,,,,,,,,,,
Corolla,142.54,10.025,,,,,,,,,,,,,,,
Land Cruiser,9.84,34.08,,,,,,,,,,,,,,,
RAV4,25.11,13.325,,,,,,,,,,,,,,,
Sienna,65.12,,,,,,,,,,,,,,,,
Tacoma,84.09,9.575,,,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,,,,
Grand Total,740.22,133.26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,"NOTE: The sum of sales chart indicates that Toyota sells more quantities of Tacomas, Corollas, and Camrys. However, the Land Cruisers, the Avalons, and the 4Runners hold their value. ",,,,,,,,,,,,,,,
